Product Code, Product Description,Product Indate, Product QOH, Product Min,Product Price, Product Discount, Vendor Code11QER/31,"Power painter, 15 psi., 3-nozzle",2013-11-03 00:00:00.0,8,5,109.99,0,25595
13-Q2/P2,7.25-in. pwr. saw blade,2013-12-13 00:00:00.0,32,15,14.99,0.05,21344
14-Q1/L3,9.00-in. pwr. saw blade,2013-11-13 00:00:00.0,18,12,17.49,0,21344
1546-QQ2,"Hrd. cloth, 1/4-in., 2x50",2014-01-15 00:00:00.0,15,8,39.95,0,23119
1558-QW1,"Hrd. cloth, 1/2-in., 3x50",2014-01-15 00:00:00.0,23,5,43.99,0,23119
2232/QTY,"B&D jigsaw, 12-in. blade",2013-12-30 00:00:00.0,8,5,109.92,0.05,24288
2232/QWE,"B&D jigsaw, 8-in. blade",2013-12-24 00:00:00.0,6,5,99.87,0.05,24288
2238/QPD,"B&D cordless drill, 1/2-in.",2014-01-20 00:00:00.0,12,5,38.95,0.05,25595
23109-HB,Claw hammer,2014-01-20 00:00:00.0,23,10,9.95,0.1,21225
23114-AA,"Sledge hammer, 12 lb.",2014-01-02 00:00:00.0,8,5,14.4,0.05,null
54778-2T,"Rat-tail file, 1/8-in. fine",2013-12-15 00:00:00.0,43,20,4.99,0,21344
89-WRE-Q,"Hicut chain saw, 16 in.",2014-02-07 00:00:00.0,11,5,256.99,0.05,24288
PVC23DRT,"PVC pipe, 3.5-in., 8-ft",2014-02-20 00:00:00.0,188,75,5.87,0,null
SM-18277,"1.25-in. metal screw, 25",2014-03-01 00:00:00.0,172,75,6.99,0,21225
SW-23116,"2.5-in. wd. screw, 50",2014-02-24 00:00:00.0,237,100,8.45,0,21231
WR3/TT3,"Steel matting, 4'x8'x1/6", .5" mesh",2014-01-17 00:00:00.0,18,5,119.95,0.1,25595
